time,words_per_bin
0.0,32
10.0,19
20.0,26
30.0,22
40.0,30
50.0,50
60.0,23
70.0,24
80.0,30
90.0,32
100.0,30
110.0,50
120.0,31
130.0,27
140.0,21
150.0,39
160.0,34
170.0,21
180.0,34
190.0,32
200.0,26
210.0,28
220.0,14
230.0,21
240.0,29
250.0,24
260.0,18
270.0,22
280.0,38
290.0,13
300.0,36
310.0,31
320.0,31
330.0,23
340.0,23
350.0,35
360.0,33
370.0,32
380.0,32
390.0,20
400.0,34
410.0,31
420.0,32
430.0,10
440.0,28
450.0,13
460.0,19
470.0,37
480.0,27
490.0,10
500.0,28
510.0,24
520.0,10
530.0,41
540.0,34
550.0,38
560.0,27
570.0,12
580.0,53
590.0,12
600.0,26
610.0,18
620.0,30
630.0,25
640.0,31
650.0,31
660.0,38
670.0,19
680.0,39
690.0,29
700.0,39
710.0,39
720.0,32
730.0,37
740.0,27
750.0,24
760.0,31
770.0,35
780.0,34
790.0,27
800.0,26
810.0,37
820.0,29
830.0,8
840.0,35
850.0,40
860.0,44
870.0,39
880.0,40
890.0,29
900.0,38
910.0,34
920.0,37
930.0,29
940.0,34
950.0,47
960.0,30
970.0,34
980.0,25
990.0,39
1000.0,27
1010.0,26
1020.0,28
1030.0,27
1040.0,18
1050.0,37
1060.0,25
1070.0,37
1080.0,39
1090.0,24
1100.0,45
1110.0,45
1120.0,24
1130.0,22
1140.0,30
1150.0,24
1160.0,20
1170.0,27
1180.0,18
1190.0,31
1200.0,36
1210.0,52
1220.0,39
1230.0,30
1240.0,30
1250.0,27
1260.0,19
1270.0,40
1280.0,37
1290.0,17
1300.0,51
1310.0,38
1320.0,38
1330.0,39
1340.0,12
1350.0,13
1360.0,27
1370.0,38
1380.0,30
1390.0,37
1400.0,40
1410.0,25
1420.0,35
1430.0,33
1440.0,21
1450.0,37
1460.0,43
1470.0,31
1480.0,27
1490.0,31
1500.0,10
1510.0,18
1520.0,23
1530.0,51
1540.0,28
1550.0,22
1560.0,44
1570.0,21
1580.0,7
1590.0,20
1600.0,18
1610.0,45
1620.0,31
1630.0,28
1640.0,33
1650.0,30
1660.0,33
1670.0,29
1680.0,30
1690.0,8
1700.0,38
1710.0,3
1720.0,29
1730.0,31
1740.0,38
1750.0,31
1760.0,37
1770.0,32
1780.0,27
1790.0,40
1800.0,28
1810.0,28
1820.0,39
1830.0,40
1840.0,40
1850.0,56
1860.0,44
1870.0,22
1880.0,29
1890.0,22
1900.0,46
1910.0,11
1920.0,31
1930.0,27
1940.0,12
1950.0,29
1960.0,40
1970.0,34
1980.0,20
1990.0,18
2000.0,21
2010.0,25
2020.0,36
2030.0,33
2040.0,31
2050.0,27
2060.0,28
2070.0,33
2080.0,43
2090.0,27
2100.0,16
2110.0,39
2120.0,26
2130.0,31
2140.0,6
2150.0,30
2160.0,20
2170.0,12
2180.0,30
2190.0,20
2200.0,18
2210.0,29
2220.0,37
2230.0,28
2240.0,15
2250.0,44
2260.0,34
2270.0,44
2280.0,23
2290.0,54
2300.0,14
2310.0,30
2320.0,56
2330.0,32
2340.0,41
2350.0,34
2360.0,25
2370.0,52
2380.0,48
2390.0,61
2400.0,44
2410.0,28
2420.0,47
2430.0,18
2440.0,31
2450.0,18
2460.0,51
2470.0,53
2480.0,38
2490.0,27
2500.0,58
2510.0,43
2520.0,51
2530.0,32
2540.0,37
2550.0,39
2560.0,41
2570.0,57
2580.0,34
2590.0,48
2600.0,28
2610.0,27
2620.0,41
2630.0,50
2640.0,32
2650.0,36
2660.0,23
2670.0,46
2680.0,64
2690.0,35
2700.0,36
2710.0,34
2720.0,24
2730.0,39
